trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.1}",25,0,-102.92381946672322,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.1}",20,0,-19.390810472358247,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.1}",20,0,-53.559772060985004,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.1}",20,0,-188.99874603540397,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.1}",30,0,-236.06334579149623,"{0: 15, 1: 4, 2: 5, 3: 3, 4: 3}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.1}",20,0,-81.37296256619221,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.1}",20,0,-108.72432603272095,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.1}",20,0,-34.169949667832725,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.1}",25,0,-67.89688660686771,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.1}",20,0,-138.92939202753954,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.1}",25,0,-79.84574276168968,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.1}",20,0,-56.817829950475435,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.1}",25,0,-81.8133356913569,"{0: 19, 1: 0, 2: 2, 3: 4, 4: 0}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.1}",20,0,-31.102069241618672,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.1}",25,0,30.78990758235052,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.1}",25,0,10.686378052765077,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.1}",25,0,-6.561176471714311,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.1}",20,0,-7.117907213878159,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.1}",20,0,20.650747723140462,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.1}",20,0,28.08453305296286,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'e': 0, 'a': 0}",20,0,25.958947841509357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'e': 0, 'a': 0}",20,0,22.488197396594998,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': 0, 'a': 0}",20,0,27.751308972364548,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'e': 0, 'a': 0}",20,0,-16.351215272608716,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
5,True,"{'e': 0, 'a': 0}",25,0,28.780264847981098,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'e': 0, 'a': 0}",20,0,4.060953423493933,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'e': 0, 'a': 0}",25,0,27.069909432100125,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'e': 0, 'a': 0}",25,0,12.498213293702554,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'e': 0, 'a': 0}",30,0,15.719809456811392,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'e': 0, 'a': 0}",30,0,38.5712897631289,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
