trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.95}",25,0,-156.0603925129076,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
2,False,"{'e': 0.25, 'a': 0.95}",25,0,-83.19639943559034,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
3,False,"{'e': 0.1111111111111111, 'a': 0.95}",25,0,-85.47119524316558,"{0: 20, 1: 0, 2: 1, 3: 3, 4: 1}",0
4,False,"{'e': 0.0625, 'a': 0.95}",20,0,-8.241228536688373,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
5,False,"{'e': 0.04, 'a': 0.95}",20,2,-15.88580788152856,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,False,"{'e': 0.027777777777777776, 'a': 0.95}",30,0,-92.90036883843963,"{0: 26, 1: 0, 2: 0, 3: 2, 4: 2}",0
7,False,"{'e': 0.02040816326530612, 'a': 0.95}",20,0,-18.81244932169591,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,False,"{'e': 0.015625, 'a': 0.95}",20,9,-76.81348258161077,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
9,False,"{'e': 0.012345679012345678, 'a': 0.95}",30,1,-116.83294869602192,"{0: 24, 1: 1, 2: 0, 3: 1, 4: 3}",1
10,False,"{'e': 0.01, 'a': 0.95}",20,14,5.601781820364576,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'e': 0.008264462809917356, 'a': 0.95}",20,2,24.841644272509004,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'e': 0.006944444444444444, 'a': 0.95}",25,0,29.13980711562361,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'e': 0.005917159763313609, 'a': 0.95}",35,0,-8.164331557548907,"{0: 33, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,False,"{'e': 0.00510204081632653, 'a': 0.95}",30,0,-51.18586647205017,"{0: 26, 1: 1, 2: 0, 3: 2, 4: 1}",0
15,False,"{'e': 0.0044444444444444444, 'a': 0.95}",25,2,-32.01985377788728,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,False,"{'e': 0.00390625, 'a': 0.95}",25,0,-4.859247950361417,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'e': 0.0034602076124567475, 'a': 0.95}",25,0,-16.766091731510823,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'e': 0.0030864197530864196, 'a': 0.95}",30,4,-25.875104750588015,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 1}",1
19,False,"{'e': 0.002770083102493075, 'a': 0.95}",25,20,7.042936867545238,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'e': 0.0025, 'a': 0.95}",20,7,4.559403308073819,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'e': 0.0022675736961451248, 'a': 0.95}",20,7,-22.628098019245115,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,False,"{'e': 0.002066115702479339, 'a': 0.95}",25,0,-42.121749669551015,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
23,False,"{'e': 0.001890359168241966, 'a': 0.95}",20,9,18.144870649481817,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'e': 0.001736111111111111, 'a': 0.95}",20,0,32.23715354063103,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'e': 0.0016, 'a': 0.95}",25,0,-55.31325348837375,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
26,False,"{'e': 0.0014792899408284023, 'a': 0.95}",20,14,8.86180226409549,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'e': 0.0013717421124828531, 'a': 0.95}",20,16,5.718791126912143,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'e': 0.0012755102040816326, 'a': 0.95}",25,7,8.757940984428995,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,False,"{'e': 0.0011890606420927466, 'a': 0.95}",20,11,17.463114850170292,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
