trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-132.11082303221713,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
2,False,"{'e': 1.0, 'a': 0.5}",25,0,-187.8499733565654,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
3,False,"{'e': 1.0, 'a': 0.5}",30,2,-198.61497951805785,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 4}",1
4,False,"{'e': 1.0, 'a': 0.5}",25,0,-95.49770124106158,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'e': 1.0, 'a': 0.5}",20,0,-56.48305084768035,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'e': 1.0, 'a': 0.5}",20,0,-11.287403674860023,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,False,"{'e': 1.0, 'a': 0.5}",20,0,-75.00864373519674,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'e': 1.0, 'a': 0.5}",25,0,-147.1412857365758,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,False,"{'e': 1.0, 'a': 0.5}",35,0,-188.0716936732808,"{0: 22, 1: 1, 2: 6, 3: 5, 4: 1}",0
10,False,"{'e': 1.0, 'a': 0.5}",20,0,-49.90848596819028,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
11,False,"{'e': 1.0, 'a': 0.5}",25,0,-108.99964456144859,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
12,False,"{'e': 1.0, 'a': 0.5}",25,4,-174.32691376454525,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 2}",1
13,False,"{'e': 1.0, 'a': 0.5}",20,0,-180.1910531277293,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
14,False,"{'e': 1.0, 'a': 0.5}",20,0,-126.54654432310083,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
15,False,"{'e': 1.0, 'a': 0.5}",25,0,-108.00707790873724,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
16,False,"{'e': 1.0, 'a': 0.5}",25,0,-50.014935962552116,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
17,False,"{'e': 1.0, 'a': 0.5}",20,0,-132.51648902915437,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
18,False,"{'e': 1.0, 'a': 0.5}",25,0,-152.18619430676372,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
19,False,"{'e': 1.0, 'a': 0.5}",25,0,-76.73106195591984,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-165.0309088650687,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
1,True,"{'e': 1.0, 'a': 0.5}",30,0,-30.959850045370857,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
2,True,"{'e': 1.0, 'a': 0.5}",30,0,-379.0678267706055,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 7}",0
3,True,"{'e': 1.0, 'a': 0.5}",20,0,-93.9496288988982,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,True,"{'e': 1.0, 'a': 0.5}",25,0,-70.52881263279285,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
5,True,"{'e': 1.0, 'a': 0.5}",35,24,-29.567219315826026,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
6,True,"{'e': 1.0, 'a': 0.5}",20,0,-116.11682879212577,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
7,True,"{'e': 1.0, 'a': 0.5}",30,0,-106.63718264560602,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,True,"{'e': 1.0, 'a': 0.5}",20,0,-237.28830356882006,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 5}",0
9,True,"{'e': 1.0, 'a': 0.5}",30,0,-111.44140101920635,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,True,"{'e': 1.0, 'a': 0.5}",20,0,-66.30814783976506,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
